RegEx    Token    AttVal
Boolean    Boolean_KW    -
someMethod    VarName    -
(    Opening_Parentheses    -
int    int_KW    -
a    VarName    -
,    Comma    -
b    VarName    -
;    Semicolon    -
bool    bool_KW    -
c    VarName    -
,    Comma    -
d    VarName    -
,    Comma    -
e    VarName    -
)    Closing_Parentheses    -
{    Opening_Brace    -
static    Static_KW    -
int    int_KW    -
f    VarName    -
,    Comma    -
g    VarName    -
;    Semicolon    -
g    VarName    -
=    Equal    -
a    VarName    -
+    Plus    -
b    VarName    -
;    Semicolon    -
till    Till_KW    -
(    Opening_Parentheses    -
a    VarName    -
>    GreaterOP    -
b    VarName    -
)    Closing_Parentheses    -
if    If_KW    -
(    Opening_Parentheses    -
c    VarName    -
and    And    -
d    VarName    -
)    Closing_Parentheses    -
a    VarName    -
--    MM    -
;    Semicolon    -
other    Other_KW    -
a    VarName    -
=    Equal    -
b    VarName    -
-    Minus    -
a    VarName    -
;    Semicolon    -
comeback    ComeBack_KW    -
;    Semicolon    -
giveback    GiveBack_KW    -
b    VarName    -
++    PP    -
;    Semicolon    -
}    Closing_Brace    -
